rank,Youtuber,subscribers,video views,category,uploads,Country,Abbreviation,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,created_on
54,Voot Kids,45500000,21388725229,Entertainment,4660,India,IN,58500.0,936000.0,702000.0,11200000.0,28.1,1366417754.0,5.36,471031528.0,2016-11-23
55,Felipe Neto,45200000,16602198273,Entertainment,4331,Brazil,BR,32600.0,521400.0,391100.0,6300000.0,51.3,212559417.0,12.08,183241641.0,2006-05-16
57,HAR PAL GEO,44600000,41139050371,Entertainment,100755,Pakistan,PK,334300.0,5300000.0,4000000.0,64200000.0,9.0,216565318.0,4.45,79927762.0,2008-01-02
58,BRIGHT SIDE,44500000,10708531817,Howto & Style,1560,United States,US,0.0,0.0,149840.43243243243,2398883.785135135,88.2,328239523.0,14.7,270663028.0,2005-11-18
59,Katy Perry,44200000,25458952022,Music,128,United States,US,33600.0,537000.0,402700.0,6400000.0,88.2,328239523.0,14.7,270663028.0,2008-06-01
60,whinderssonnunes,44200000,4274709210,Comedy,558,Brazil,BR,6700.0,106700.0,80100.0,1300000.0,51.3,212559417.0,12.08,183241641.0,2013-01-21
61,ABS-CBN Entertainment,44200000,50292540392,People & Blogs,193890,Philippines,PH,44200.0,706500.0,529900.0,8500000.0,35.5,108116615.0,2.15,50975903.0,2008-07-16
62,Alan Walker,43700000,12884264778,Music,2165,Thailand,TH,0.01,0.09,408155.45147959184,6538956.585153062,49.3,69625582.0,0.75,35294600.0,2006-05-12
63,HolaSoyGerman.,43600000,4831311245,Entertainment,6,Chile,CL,0.0,0.02,470586.4440707965,7544165.480309734,88.5,18952038.0,7.09,16610135.0,2016-05-27
64,Shakira,43500000,27568757295,People & Blogs,326,Colombia,CO,88400.0,1400000.0,1100000.0,17000000.0,55.3,50339443.0,9.71,40827302.0,2005-10-16
66,ARY Digital HD,43200000,37939780685,Entertainment,109871,Pakistan,PK,287300.0,4600000.0,3400000.0,55200000.0,9.0,216565318.0,4.45,79927762.0,2016-07-11
67,Speed Records,42500000,26820902622,Music,10938,India,IN,39900.0,639000.0,479300.0,7700000.0,28.1,1366417754.0,5.36,471031528.0,2012-11-22
68,Masha and The Bear,42400000,24519022988,Shows,1218,United States,US,167600.0,2700000.0,2000000.0,32200000.0,88.2,328239523.0,14.7,270663028.0,2014-09-17
69,Like Nastya Show,42400000,19547696190,Entertainment,618,United States,US,13300.0,212800.0,159600.0,2600000.0,88.2,328239523.0,14.7,270663028.0,2017-11-14
70,Rihanna,41900000,22477745835,Entertainment,84,Barbados,BB,45700.0,731700.0,548800.0,8800000.0,65.4,287025.0,10.33,89431.0,2005-11-06
71,Ishtar Music,41400000,17608931161,Trailers,4510,India,IN,45200.0,723800.0,542800.0,8700000.0,28.1,1366417754.0,5.36,471031528.0,2005-09-22
72,Kimberly Loaiza,41300000,5603111948,People & Blogs,291,Mexico,MX,34200.0,547000.0,410200.0,6600000.0,40.2,126014024.0,3.42,102626859.0,2016-11-16
73,Little Baby Bum - Nursery Rhymes & Kids Songs,40900000,39450824833,Education,2423,United States,US,24700.0,395100.0,296300.0,4700000.0,88.2,328239523.0,14.7,270663028.0,2011-06-22
74,Luisito Comunica,40600000,8670473639,Comedy,1115,Mexico,MX,0.0,0.0,500966.40579710144,8038623.188405797,40.2,126014024.0,3.42,102626859.0,2010-06-18
75,elrubiusOMG,40400000,7410536668,Gaming,703,Spain,ES,1400.0,23100.0,17300.0,277100.0,88.9,47076781.0,13.96,37927409.0,2011-12-20
76,Toys and Colors,40300000,47005053156,Entertainment,4,United States,US,0.0,0.02,470586.4440707965,7544165.480309734,88.2,328239523.0,14.7,270663028.0,2018-06-14
78,LUCCAS NETO - LUCCAS TOON,39400000,22302547082,People & Blogs,1,Brazil,BR,0.0,0.01,433486.4187704918,6928129.773770492,51.3,212559417.0,12.08,183241641.0,2021-03-25
79,CarryMinati,39200000,3294013141,Comedy,186,India,IN,19700.0,314800.0,236100.0,3800000.0,28.1,1366417754.0,5.36,471031528.0,2014-10-30
80,XXXTENTACION,39200000,10507474316,Music,133,United States,US,14600.0,233400.0,175100.0,2800000.0,88.2,328239523.0,14.7,270663028.0,2015-06-23
81,Super Simple Songs - Kids Songs,39200000,44900897958,Education,744,Canada,CA,140200.0,2200000.0,1700000.0,26900000.0,68.9,36991981.0,5.56,30628482.0,2006-09-08
82,Mikecrack,39100000,16118181673,Gaming,1876,Spain,ES,66000.0,1100000.0,792300.0,12700000.0,88.9,47076781.0,13.96,37927409.0,2015-07-13
83,WorkpointOfficial,39000000,36131228583,Entertainment,72580,Thailand,TH,32600.0,521800.0,391400.0,6300000.0,49.3,69625582.0,0.75,35294600.0,2012-11-05
84,GR6 EXPLODE,38900000,25154232306,Music,3043,Brazil,BR,408700.0,6500000.0,4900000.0,78500000.0,51.3,212559417.0,12.08,183241641.0,2014-08-05
85,TEDx Talks,38600000,7339333120,Nonprofits & Activism,200933,United States,US,11400.0,182600.0,136900.0,2200000.0,88.2,328239523.0,14.7,270663028.0,2009-06-23
86,shfa,38400000,21528116909,People & Blogs,982,Saudi Arabia,SA,397.0,6400.0,433486.4187704918,76300.0,68.0,34268528.0,5.93,28807838.0,2018-05-24
87,Goldmines Gaane Sune Ansune,38300000,16718192386,Music,3532,India,IN,203700.0,3300000.0,2400000.0,39100000.0,28.1,1366417754.0,5.36,471031528.0,2015-08-24
88,One Direction,38200000,13598903820,Music,11,United States,US,2.0,25.0,408155.45147959184,6538956.585153062,88.2,328239523.0,14.7,270663028.0,2016-06-26
89,TheEllenShow,38200000,22756581750,Entertainment,15672,United States,US,5500.0,87200.0,65400.0,1000000.0,88.2,328239523.0,14.7,270663028.0,2006-11-21
90,Sony PAL,38200000,28519339489,Shows,24089,India,IN,104000.0,1700000.0,1200000.0,20000000.0,28.1,1366417754.0,5.36,471031528.0,2014-05-09
91,Daddy Yankee,38000000,22731415608,Music,505,United States,US,51400.0,822400.0,616800.0,9900000.0,88.2,328239523.0,14.7,270663028.0,2011-05-16
93,Like Nastya ESP,37600000,18208196857,Entertainment,743,United States,US,80300.0,1300000.0,963100.0,15400000.0,88.2,328239523.0,14.7,270663028.0,2017-04-22
95,Jkk Entertainment,37200000,16402066717,Comedy,220,India,IN,12500.0,199400.0,149600.0,2400000.0,28.1,1366417754.0,5.36,471031528.0,2017-03-20
96,ABP NEWS,37000000,13102611515,People & Blogs,301308,India,IN,66800.0,1100000.0,801200.0,12800000.0,28.1,1366417754.0,5.36,471031528.0,2012-06-01
97,Maria Clara & JP,37000000,24188861917,People & Blogs,744,Brazil,BR,62900.0,1000000.0,754300.0,12100000.0,51.3,212559417.0,12.08,183241641.0,2015-09-06
98,Bruno Mars,36700000,19378155425,Music,99,United States,US,43800.0,701000.0,525700.0,8400000.0,88.2,328239523.0,14.7,270663028.0,2006-09-19
99,Maroon 5,36600000,22553923546,Music,171,United States,US,38200.0,611300.0,458500.0,7300000.0,88.2,328239523.0,14.7,270663028.0,2006-03-09
100,Ultra Bollywood,36600000,15653786446,Trailers,9168,India,IN,0.0,0.0,271400.0,4350000.0,28.1,1366417754.0,5.36,471031528.0,2009-10-21
102,YouTube,36300000,3010784935,News & Politics,744,United States,US,5300.0,84400.0,63300.0,1000000.0,88.2,328239523.0,14.7,270663028.0,1970-01-01
105,MrBeast Gaming,36100000,6331332547,Gaming,4300,United States,US,0.01,0.13,200995.47880434783,3224177.3629347826,88.2,328239523.0,14.7,270663028.0,2011-02-26
107,Saregama Music,35500000,15657673422,Entertainment,7566,India,IN,133400.0,2100000.0,1600000.0,25600000.0,28.1,1366417754.0,5.36,471031528.0,2013-01-04
108,IndiaTV,35500000,16105023749,News & Politics,273255,India,IN,72700.0,1200000.0,872500.0,14000000.0,28.1,1366417754.0,5.36,471031528.0,2006-08-26
109,T-Series Bollywood Classics,35400000,22637783517,Music,2010,India,IN,82900.0,1300000.0,994400.0,15900000.0,28.1,1366417754.0,5.36,471031528.0,2012-04-02
110,Total Gaming,35400000,5556364230,Gaming,4300,India,IN,0.01,0.21,200995.47880434783,3224177.3629347826,28.1,1366417754.0,5.36,471031528.0,2006-07-15
111,Markiplier,35200000,20297931219,Gaming,5490,United States,US,31800.0,509300.0,382000.0,6100000.0,88.2,328239523.0,14.7,270663028.0,2012-05-26
112,Ryan's World,35200000,55299840198,Entertainment,2453,United States,US,59700.0,954500.0,715800.0,11500000.0,88.2,328239523.0,14.7,270663028.0,2015-03-17
113,Genevieve's Playhouse - Learning Videos for Kids,34900000,25607397308,Education,617,United States,US,83800.0,1300000.0,1000000.0,16100000.0,88.2,328239523.0,14.7,270663028.0,2016-01-06
114,T-Series Apna Punjab,34600000,21306315429,Music,2165,India,IN,0.0,0.0,408155.45147959184,6538956.585153062,28.1,1366417754.0,5.36,471031528.0,2020-07-09
115,Techno Gamerz,34400000,9690499664,Gaming,4300,India,IN,0.02,0.34,200995.47880434783,3224177.3629347826,28.1,1366417754.0,5.36,471031528.0,2010-05-19
116,Geet MP3,34300000,12746535822,Music,679,India,IN,25300.0,405400.0,304100.0,4900000.0,28.1,1366417754.0,5.36,471031528.0,2016-10-22
117,J Balvin,34100000,23005313609,Music,141,Colombia,CO,32200.0,514800.0,386100.0,6200000.0,55.3,50339443.0,9.71,40827302.0,2011-02-18
118,Jess No Limit,34000000,3963007415,Entertainment,2284,Indonesia,ID,136800.0,2200000.0,1600000.0,26300000.0,36.3,270203917.0,4.69,151509724.0,2017-09-07
119,Jingle Toons,34000000,11351015824,Film & Animation,240,India,IN,45000.0,719600.0,539700.0,8600000.0,28.1,1366417754.0,5.36,471031528.0,2013-01-24
120,VEGETTA777,33800000,15432929204,Gaming,7606,Spain,ES,9800.0,156400.0,117300.0,1900000.0,88.9,47076781.0,13.96,37927409.0,2008-03-02
121,Galinha Pintadinha,33800000,27274550757,Film & Animation,66,Brazil,BR,100900.0,1600000.0,1200000.0,19400000.0,51.3,212559417.0,12.08,183241641.0,2006-08-30
122,SSSniperWolf,33700000,23492684419,Gaming,3366,United States,US,52700.0,843800.0,632900.0,10100000.0,88.2,328239523.0,14.7,270663028.0,2013-01-20
123,Desi Music Factory,33700000,10189027455,Music,2165,India,IN,0.0,0.0,408155.45147959184,6538956.585153062,28.1,1366417754.0,5.36,471031528.0,2018-04-10
124,Selena Gomez,33600000,13013567335,Film & Animation,188,United States,US,28900.0,463200.0,347400.0,5600000.0,88.2,328239523.0,14.7,270663028.0,2008-02-08
125,Rajshri,33500000,14864294792,Music,3741,India,IN,68100.0,1100000.0,816800.0,13100000.0,28.1,1366417754.0,5.36,471031528.0,2006-03-24
126,Ch3Thailand,33500000,29611914495,Entertainment,96214,Thailand,TH,0.0,0.0,470586.4440707965,7544165.480309734,49.3,69625582.0,0.75,35294600.0,2014-05-29
127,KHANDESHI MOVIES,33500000,11405809704,Comedy,217,India,IN,6200.0,98900.0,74200.0,1200000.0,28.1,1366417754.0,5.36,471031528.0,2013-11-11
128,NoCopyrightSounds,33400000,10530729078,Music,1331,United Kingdom,GB,13900.0,222600.0,167000.0,2700000.0,60.0,66834405.0,3.85,55908316.0,2011-08-14
129,CVS 3D Rhymes & Kids Songs,33400000,20269857567,Education,338,India,IN,34000.0,544300.0,408300.0,6500000.0,28.1,1366417754.0,5.36,471031528.0,2008-08-26
130,Ricis Official,33300000,5994136760,People & Blogs,2736,Indonesia,ID,39300.0,628400.0,471300.0,7500000.0,36.3,270203917.0,4.69,151509724.0,2016-01-15
131,BabyBus - Kids Songs and Cartoons,32800000,26355088167,Education,2122,United States,US,31900.0,510000.0,382500.0,6100000.0,88.2,328239523.0,14.7,270663028.0,2016-07-15
132,Eros Now Music,32700000,17853798780,Entertainment,1521,India,IN,5100.0,81100.0,60800.0,972600.0,28.1,1366417754.0,5.36,471031528.0,2012-03-14
134,DisneyMusicVEVO,32700000,28516250629,Music,2068,United States,US,82500.0,1300000.0,989600.0,15800000.0,88.2,328239523.0,14.7,270663028.0,2010-05-20
135,The Weeknd,32600000,23379969006,Music,169,Canada,CA,93500.0,1500000.0,1100000.0,17900000.0,68.9,36991981.0,5.56,30628482.0,2011-02-25
136,WowKidz,32200000,16613441479,Film & Animation,3100,India,IN,0.0,0.0,551006.2411904761,8861635.621666666,28.1,1366417754.0,5.36,471031528.0,2006-12-16
137,KAROL G,32100000,18699145555,Music,134,Colombia,CO,116400.0,1900000.0,1400000.0,22400000.0,55.3,50339443.0,9.71,40827302.0,2013-03-14
138,Mr Bean,32100000,10602236110,Shows,3091,United Kingdom,GB,14100.0,226100.0,169600.0,2700000.0,60.0,66834405.0,3.85,55908316.0,2006-01-04
139,rezendeevil,32100000,13061739758,Gaming,11882,Brazil,BR,11100.0,178000.0,133500.0,2100000.0,51.3,212559417.0,12.08,183241641.0,2012-02-12
140,StarPlus,32000000,26800674545,Entertainment,44892,India,IN,416800.0,6700000.0,5000000.0,80000000.0,28.1,1366417754.0,5.36,471031528.0,2006-05-19
141,SMTOWN,31900000,27330239663,Music,4158,South Korea,KR,58400.0,933600.0,700200.0,11200000.0,94.3,51709098.0,4.15,42106719.0,2006-03-18
142,GMA  Network,31900000,19428308461,Entertainment,93311,Philippines,PH,199600.0,3200000.0,2400000.0,38300000.0,35.5,108116615.0,2.15,50975903.0,2006-11-20
143,GENIAL,31800000,6762424690,Howto & Style,6734,Mexico,MX,7900.0,125800.0,94400.0,1500000.0,40.2,126014024.0,3.42,102626859.0,2017-06-01
144,MR. INDIAN HACKER,31700000,5711208484,Science & Technology,929,India,IN,27300.0,436500.0,327400.0,5200000.0,28.1,1366417754.0,5.36,471031528.0,2012-06-21
145,Worldwide Records Bhojpuri,31700000,16476978876,Music,6518,India,IN,28200.0,450600.0,337900.0,5400000.0,28.1,1366417754.0,5.36,471031528.0,2012-03-15
147,Dream,31700000,2930015381,Gaming,116,United States,US,6800.0,108100.0,81100.0,1300000.0,88.2,328239523.0,14.7,270663028.0,2014-02-08
148,Lucas and Marcus,31600000,11615848291,Entertainment,1321,United States,US,78000.0,1200000.0,936300.0,15000000.0,88.2,328239523.0,14.7,270663028.0,2011-01-19
149,JustinBieberVEVO,31600000,26583873105,Music,204,United States,US,26300.0,420500.0,315400.0,5000000.0,88.2,328239523.0,14.7,270663028.0,2009-09-26
150,Luis Fonsi,31400000,15176762479,Entertainment,0,United States,US,0.0,0.0,470586.4440707965,7544165.480309734,88.2,328239523.0,14.7,270663028.0,2006-03-31
151,Peppa Pig - Official Channel,31400000,22919271731,Film & Animation,3589,United Kingdom,GB,61200.0,979700.0,734800.0,11800000.0,60.0,66834405.0,3.85,55908316.0,2013-10-09
152,YOLO AVENTURAS,31200000,9673649438,People & Blogs,65,Venezuela,VE,0.9,14.0,433486.4187704918,6928129.773770492,79.3,28515829.0,8.8,25162368.0,2018-12-16
153,The Tonight Show Starring Jimmy Fallon,31200000,17111726160,Comedy,8976,United States,US,0.0,0.0,500966.40579710144,8038623.188405797,88.2,328239523.0,14.7,270663028.0,2006-01-08
154,TheDonato,31200000,6187804950,Entertainment,3027,Argentina,AR,47700.0,762700.0,572000.0,9200000.0,99.0,46005799.0,6.81,42696478.0,2015-02-17
155,ImagineDragons,30700000,16793072362,Music,92,United States,US,47200.0,755300.0,566500.0,9100000.0,88.2,328239523.0,14.7,270663028.0,2009-08-03
157,Round2hell,30700000,3145161634,Comedy,67,India,IN,8000.0,127300.0,95500.0,1500000.0,28.1,1366417754.0,5.36,471031528.0,2016-10-20
158,Zee News,30500000,16709857823,News & Politics,180092,India,IN,115400.0,1800000.0,1400000.0,22200000.0,28.1,1366417754.0,5.36,471031528.0,2007-06-19
159,AboFlah,30500000,4521573939,Gaming,641,Kuwait,KW,39500.0,631600.0,473700.0,7600000.0,54.4,4207083.0,2.18,4207083.0,2016-07-28
160,AH,30400000,4332274962,Entertainment,2197,Indonesia,ID,5400.0,85800.0,64300.0,1000000.0,36.3,270203917.0,4.69,151509724.0,2014-01-26
161,Trap Nation,30400000,14037426379,Music,2725,United States,US,11500.0,183300.0,137500.0,2200000.0,88.2,328239523.0,14.7,270663028.0,2012-09-23
164,Adele,30200000,14199108016,Music,2165,United Kingdom,GB,34300.0,548400.0,411300.0,6600000.0,60.0,66834405.0,3.85,55908316.0,2008-04-04
165,Talking Tom,30200000,15199330166,Comedy,1115,United States,US,0.0,0.0,500966.40579710144,8038623.188405797,88.2,328239523.0,14.7,270663028.0,2008-06-27
167,Frost Diamond,30100000,7277493940,Gaming,4300,Indonesia,ID,0.0,0.0,200995.47880434783,3224177.3629347826,36.3,270203917.0,4.69,151509724.0,2006-08-10
168,Spinnin' Records,30100000,19607009165,Music,11501,Netherlands,NL,25000.0,400200.0,300100.0,4800000.0,85.0,17332850.0,3.2,15924729.0,2007-07-12
169,Little Angel: Nursery Rhymes & Kids Songs,30100000,22593193994,Education,1349,United States,US,26900.0,430100.0,322600.0,5200000.0,88.2,328239523.0,14.7,270663028.0,2015-12-14
171,Shawn Mendes,30000000,12831200855,Music,133,Canada,CA,22200.0,355000.0,266200.0,4300000.0,68.9,36991981.0,5.56,30628482.0,2011-01-19
172,ashish chanchlani vines,29800000,4457913639,Comedy,151,India,IN,6500.0,104700.0,78500.0,1300000.0,28.1,1366417754.0,5.36,471031528.0,2009-07-06
173,Ultra Records,29600000,17208027242,Music,4903,United States,US,20500.0,327500.0,245700.0,3900000.0,88.2,328239523.0,14.7,270663028.0,2006-10-24
175,Maluma,29300000,21226945136,Music,14,Argentina,AR,0.0,0.06,408155.45147959184,6538956.585153062,99.0,46005799.0,6.81,42696478.0,2015-10-31
176,Zhong,29200000,14727238483,Entertainment,1513,United States,US,0.0,0.0,470586.4440707965,7544165.480309734,88.2,328239523.0,14.7,270663028.0,2015-01-19
177,Enaldinho,29200000,11627437847,Comedy,3654,Brazil,BR,75800.0,1200000.0,909300.0,14500000.0,51.3,212559417.0,12.08,183241641.0,2012-11-07
178,AuronPlay,29200000,4079141673,Comedy,404,Spain,ES,3000.0,48600.0,36400.0,582900.0,88.9,47076781.0,13.96,37927409.0,2006-02-28
179,Shorts Break,29000000,19466238065,Comedy,42,India,IN,15.0,243.0,500966.40579710144,8038623.188405797,28.1,1366417754.0,5.36,471031528.0,2021-01-28
180,infobells - Tamil,28900000,17930570614,Education,555,India,IN,27500.0,439300.0,329500.0,5300000.0,28.1,1366417754.0,5.36,471031528.0,2014-03-13
181,Aditya Music India,28500000,25857994495,Music,2165,India,IN,0.0,0.0,408155.45147959184,6538956.585153062,28.1,1366417754.0,5.36,471031528.0,2010-12-16
182,The Late Late Show with James Corden,28400000,9956764048,Entertainment,5809,United States,US,6600.0,105700.0,79300.0,1300000.0,88.2,328239523.0,14.7,270663028.0,2006-11-21
183,Aditya Movies,28400000,10062770060,Movies,5436,India,IN,56800.0,909400.0,682100.0,10900000.0,28.1,1366417754.0,5.36,471031528.0,2012-02-23
184,Masha y el Oso,28300000,13577142726,Film & Animation,3100,Mexico,MX,0.0,0.01,551006.2411904761,8861635.621666666,40.2,126014024.0,3.42,102626859.0,2019-07-21
185,infobells - Telugu,28300000,14814192034,Education,505,India,IN,72000.0,1200000.0,864300.0,13800000.0,28.1,1366417754.0,5.36,471031528.0,2014-03-13
186,HUM TV,28300000,23844936965,Entertainment,106983,Pakistan,PK,171200.0,2700000.0,2100000.0,32900000.0,9.0,216565318.0,4.45,79927762.0,2011-05-25
187,Shemaroo Movies,28200000,7600740993,Entertainment,3009,India,IN,46200.0,739900.0,554900.0,8900000.0,28.1,1366417754.0,5.36,471031528.0,2011-03-01
188,Michael Jackson,28200000,14412474625,Music,15,United States,US,39600.0,634400.0,475800.0,7600000.0,88.2,328239523.0,14.7,270663028.0,2005-06-22
189,Drake,28100000,15318895118,Music,2165,United States,US,0.01,0.12,408155.45147959184,6538956.585153062,88.2,328239523.0,14.7,270663028.0,2005-09-23
190,Goldmines Dishoom,28000000,8603468420,Film & Animation,3878,India,IN,32300.0,516800.0,387600.0,6200000.0,28.1,1366417754.0,5.36,471031528.0,2016-11-26
191,Sandeep Maheshwari,27800000,2303069221,People & Blogs,0,Singapore,SG,0.0,0.0,433486.4187704918,6928129.773770492,84.8,5703569.0,4.11,5703569.0,2008-01-02
192,Bounce Patrol - Kids Songs,27800000,21037851468,Music,292,Australia,AU,31900.0,509800.0,382300.0,6100000.0,113.1,25766605.0,5.27,21844756.0,2013-01-01
193,toycantando,27700000,15777682516,Music,619,Colombia,CO,43500.0,695300.0,521500.0,8300000.0,55.3,50339443.0,9.71,40827302.0,2009-07-07
194,MrBeast 2,27500000,4552581106,People & Blogs,27,United States,US,0.0,0.0,433486.4187704918,6928129.773770492,88.2,328239523.0,14.7,270663028.0,2011-06-23
195,Wiz Khalifa,27500000,13379395501,Music,682,United States,US,22600.0,361800.0,271300.0,4300000.0,88.2,328239523.0,14.7,270663028.0,2008-05-09
196,JYP Entertainment,27400000,19883150017,Music,1753,South Korea,KR,76900.0,1200000.0,922900.0,14800000.0,94.3,51709098.0,4.15,42106719.0,2008-01-25
197,Kids Roma Show,27400000,10336420490,People & Blogs,642,United States,US,44000.0,703400.0,527500.0,8400000.0,88.2,328239523.0,14.7,270663028.0,2015-05-12
198,DanTDM,27400000,19417887510,Gaming,3664,United Kingdom,GB,19700.0,314700.0,236000.0,3800000.0,60.0,66834405.0,3.85,55908316.0,2012-07-14
199,Nick Jr.,27300000,22440611155,Film & Animation,5438,United States,US,10600.0,170200.0,127600.0,2000000.0,88.2,328239523.0,14.7,270663028.0,2012-09-27
200,Crazy XYZ,27300000,7705492350,Entertainment,1259,India,IN,25600.0,408900.0,306700.0,4900000.0,28.1,1366417754.0,5.36,471031528.0,2017-09-10
201,ToyPuddingTV,27100000,15916882228,Entertainment,2,South Korea,KR,0.0,0.06,470586.4440707965,7544165.480309734,94.3,51709098.0,4.15,42106719.0,2017-06-07
202,Dushyant kukreja,27100000,17318452893,Entertainment,889,India,IN,107400.0,1700000.0,1300000.0,20600000.0,28.1,1366417754.0,5.36,471031528.0,2015-09-26
203,Gulshan Kalra,27100000,12732444881,Howto & Style,545,India,IN,125700.0,2000000.0,1500000.0,24100000.0,28.1,1366417754.0,5.36,471031528.0,2018-04-09
204,Brent Rivera,27000000,6570935979,Comedy,554,United States,US,36100.0,577800.0,433400.0,6900000.0,88.2,328239523.0,14.7,270663028.0,2009-08-01
205,Renato Garcia YT,26900000,7938616641,Entertainment,3956,Brazil,BR,20700.0,331600.0,248700.0,4000000.0,51.3,212559417.0,12.08,183241641.0,2011-09-29
206,Beast Reacts,26700000,4388047013,People & Blogs,241,United States,US,69000.0,1100000.0,828600.0,13300000.0,88.2,328239523.0,14.7,270663028.0,2016-04-24
207,enchufetv,26700000,10317306313,Comedy,975,Colombia,CO,6100.0,97500.0,73100.0,1200000.0,55.3,50339443.0,9.71,40827302.0,2011-11-13
208,Netflix,26700000,7173668905,Entertainment,6471,United States,US,29600.0,472900.0,354700.0,5700000.0,88.2,328239523.0,14.7,270663028.0,2012-07-17
209,Raffy Tulfo in Action,26500000,15065753455,News & Politics,10022,Philippines,PH,40800.0,652500.0,489400.0,7800000.0,35.5,108116615.0,2.15,50975903.0,2016-04-20
210,WORLDSTARHIPHOP,26500000,20358117330,Music,6873,United States,US,22300.0,356400.0,267300.0,4300000.0,88.2,328239523.0,14.7,270663028.0,2008-11-08
211,Goldmines Bollywood,26400000,8595760553,Film & Animation,3622,India,IN,24900.0,398700.0,299000.0,4800000.0,28.1,1366417754.0,5.36,471031528.0,2015-07-22
212,Alan Chikin Chow,26400000,27006526665,Comedy,865,United States,US,261500.0,4200000.0,3100000.0,50200000.0,88.2,328239523.0,14.7,270663028.0,2020-02-03
213,PANDA BOI,26400000,17211600007,Entertainment,967,Italy,IT,306400.0,4900000.0,3700000.0,58800000.0,61.9,60297396.0,9.89,42651966.0,2020-12-05
214,BB Ki Vines,26300000,4749833967,Entertainment,190,India,IN,4300.0,69100.0,51800.0,828600.0,28.1,1366417754.0,5.36,471031528.0,2015-06-20
217,Smosh,26100000,10435474336,Comedy,1619,United States,US,17000.0,272600.0,204500.0,3300000.0,88.2,328239523.0,14.7,270663028.0,2005-11-19
218,1MILLION Dance Studio,26100000,7886440199,Entertainment,0,Saudi Arabia,SA,0.0,0.0,470586.4440707965,7544165.480309734,68.0,34268528.0,5.93,28807838.0,2019-07-13
219,NichLmao,26000000,14101010609,People & Blogs,868,United States,US,151600.0,2400000.0,1800000.0,29100000.0,88.2,328239523.0,14.7,270663028.0,2018-09-25
220,Beyoncï¿,26000000,17308961985,Music,240,United States,US,13900.0,221800.0,166400.0,2700000.0,88.2,328239523.0,14.7,270663028.0,2005-11-07
222,Indosiar,25900000,11372071889,Music,65286,Indonesia,ID,57500.0,920700.0,690500.0,11000000.0,36.3,270203917.0,4.69,151509724.0,2013-09-23
223,VanossGaming,25800000,15541421838,Gaming,1762,Canada,CA,13700.0,219800.0,164800.0,2600000.0,68.9,36991981.0,5.56,30628482.0,2011-09-15
224,David Guetta,25700000,17793809548,Music,749,United States,US,41100.0,656900.0,492600.0,7900000.0,88.2,328239523.0,14.7,270663028.0,2009-12-11
225,LosPolinesios,25700000,7466926260,People & Blogs,982,Mexico,MX,7600.0,122000.0,91500.0,1500000.0,40.2,126014024.0,3.42,102626859.0,2012-12-16
226,Nicki Minaj,25700000,10242981063,Music,42,United States,US,25900.0,414500.0,310900.0,5000000.0,88.2,328239523.0,14.7,270663028.0,2013-08-28
227,Fede Vigevani,25600000,7962725960,Howto & Style,1560,Mexico,MX,0.0,0.0,149840.43243243243,2398883.785135135,40.2,126014024.0,3.42,102626859.0,2019-08-01
228,TaylorSwiftVEVO,25600000,25592378292,Music,287,United States,US,79600.0,1300000.0,955800.0,15300000.0,88.2,328239523.0,14.7,270663028.0,2009-05-12
229,ZHC,25500000,2726917087,Film & Animation,3100,United States,US,0.01,0.08,551006.2411904761,8861635.621666666,88.2,328239523.0,14.7,270663028.0,2006-01-24
230,Post Malone,25500000,14401218086,Music,78,United States,US,48900.0,782000.0,586500.0,9400000.0,88.2,328239523.0,14.7,270663028.0,2011-12-15
231,Rans Entertainment,25400000,6430853035,People & Blogs,3716,Indonesia,ID,14600.0,233900.0,175500.0,2800000.0,36.3,270203917.0,4.69,151509724.0,2015-12-27
232,LankyBox,25400000,34300482066,Comedy,8775,United States,US,203800.0,3300000.0,2400000.0,39100000.0,88.2,328239523.0,14.7,270663028.0,2016-07-30
233,Coldplay,25300000,17331663193,Music,398,United Kingdom,GB,49700.0,795500.0,596600.0,9500000.0,60.0,66834405.0,3.85,55908316.0,2010-01-03
234,Las Ratitas,25200000,9602246828,People & Blogs,4,Spain,ES,0.0,0.04,433486.4187704918,6928129.773770492,88.9,47076781.0,13.96,37927409.0,2019-05-31
235,WB Kids,25200000,11081602368,People & Blogs,2025,United States,US,35100.0,561300.0,421000.0,6700000.0,88.2,328239523.0,14.7,270663028.0,2015-03-31
236,ABPLIVE,25200000,7968363381,People & Blogs,12,India,IN,0.0,0.01,433486.4187704918,6928129.773770492,28.1,1366417754.0,5.36,471031528.0,2014-07-26
237,Chris Brown,25200000,15520569496,Music,2165,United States,US,0.0,0.0,408155.45147959184,6538956.585153062,88.2,328239523.0,14.7,270663028.0,2000-01-01
238,The Lallantop,25200000,10409352249,News & Politics,51129,India,IN,68500.0,1100000.0,821800.0,13100000.0,28.1,1366417754.0,5.36,471031528.0,2015-03-23
239,RihannaVEVO,25100000,19458807708,Music,118,United States,US,23600.0,377000.0,282700.0,4500000.0,88.2,328239523.0,14.7,270663028.0,2009-05-12
240,WatchMojo.com,25100000,16357064198,Music,24837,Canada,CA,12300.0,196000.0,147000.0,2400000.0,68.9,36991981.0,5.56,30628482.0,2007-01-25
